date,portfolio_return
2014-12-17,0.006685150432020226
2014-12-18,0.0154817019844522
2014-12-19,0.011671391622665839
2014-12-22,0.008044714232508632
2014-12-23,-0.0035896276128615234
2014-12-24,0.003403507754116797
2014-12-26,0.0020313426266933554
2014-12-29,-0.002777213634744924
2014-12-30,-0.0056872648920018865
2014-12-31,-0.00477262555371738
2015-01-02,-0.010090968480847118
2015-01-05,-0.013495281969604478
2015-01-06,-0.0051866790713659405
2015-01-07,0.011788285598120396
2015-01-08,0.015338931543769752
2015-01-09,0.004782864936575315
2015-01-12,-0.00429267292179103
2015-01-13,0.005947092276019195
2015-01-14,-0.007890919396535634
2015-01-15,0.0046629351547511355
2015-01-16,0.010952025134858712
2015-01-20,-0.0015103318544676947
2015-01-21,0.007007638672026806
2015-01-22,0.011000949745598732
2015-01-23,-0.004255700547881491
2015-01-26,0.0032160232749274265
2015-01-27,-0.004312956360375431
2015-01-28,-0.0050978392946547935
2015-01-29,0.004855035416811759
2015-01-30,-0.012561013267791243
2015-02-02,0.017743297854629914
2015-02-03,0.01466961002223588
2015-02-04,0.0024141952772807063
2015-02-05,0.014328744409751737
2015-02-06,-0.00865161933965497
2015-02-09,-0.0036382003550567976
2015-02-10,-0.002804394689313816
2015-02-11,-0.004736268842831182
2015-02-12,0.009513805360524152
2015-02-13,0.00608178022000061
2015-02-17,-9.364665933162541e-4
2015-02-18,0.004209185521654613
2015-02-19,9.807662394536454e-4
2015-02-20,0.006958421725400621
2015-02-23,-0.0010020357282312098
2015-02-24,0.0045603174013015835
2015-02-25,-1.451264936565e-4
2015-02-26,-0.001529155267645188
2015-02-27,-0.0029263100579380863
2015-03-02,0.005568508786673476
2015-03-03,-0.005967247205152404
2015-03-04,-0.007625347404349725
2015-03-05,0.0013641952558474113
2015-03-06,-0.016196080836774707
2015-03-09,-0.00506299701669588
2015-03-10,-0.018408130573146053
2015-03-11,0.0025363779898408545
2015-03-12,0.010180151220216871
2015-03-13,-0.005765761559087923
2015-03-16,0.009990435089685112
2015-03-17,0.0016963950836743624
2015-03-18,0.025104757537317557
2015-03-19,-0.007677001105641956
2015-03-20,0.009944756349637984
2015-03-23,-6.759709218259191e-4
2015-03-24,7.539860199539117e-4
2015-03-25,-0.010846029864699958
2015-03-26,-0.007787768185518185
2015-03-27,0.00784862081410087
2015-03-30,0.00591400213671589
2015-03-31,-0.008996973981096335
2015-04-01,0.017504096343461617
2015-04-02,0.008021262463159484
2015-04-06,0.008146461457996024
2015-04-07,-0.0019154803986044522
2015-04-08,0.0030713241554405357
2015-04-09,0.004727786622658492
2015-04-10,0.0020512787661002285
2015-04-13,-0.00959406696285725
2015-04-14,0.005227612189546704
2015-04-15,0.00610118769068535
2015-04-16,0.0012336117179012618
2015-04-17,-0.010936468918783193
2015-04-20,5.186179682534764e-4
2015-04-21,0.0038020525667279426
2015-04-22,0.003282366763878608
2015-04-23,-0.0023594433847824448
2015-04-24,0.007661923784717306
2015-04-27,0.003365898111815868
2015-04-28,0.0012189804094717704
2015-04-29,-0.006535726310610612
2015-04-30,-0.014547836387545088
2015-05-01,0.007037165792470157
2015-05-04,0.003179370462659925
2015-05-05,-0.005125368965784194
2015-05-06,-0.008119252751694561
2015-05-07,-0.0030318524383736722
2015-05-08,0.02135206782044774
2015-05-11,-0.006676436095396476
2015-05-12,-0.0022381236820614436
2015-05-13,0.005514245584441246
2015-05-14,0.008327471635291905
2015-05-15,0.001685213834094812
2015-05-18,-9.460875381398504e-4
2015-05-19,-0.0018107580357492603
2015-05-20,0.0011830900958573753
2015-05-21,0.0018226540819519244
2015-05-22,-0.006735329351942432
2015-05-26,-0.012090646814494677
2015-05-27,3.545592493114924e-4
2015-05-28,-1.3551656282762004e-4
2015-05-29,-0.0057406069256874526
2015-06-01,-0.00449072703138087
2015-06-02,0.0031486483558142986
2015-06-03,0.004228871089908548
2015-06-04,-0.015877988275529664
2015-06-05,-0.006744518905014929
2015-06-08,-7.720974740343944e-4
2015-06-09,-0.0035749140734049334
2015-06-10,0.011424444165547554
2015-06-11,0.0030695621152967423
2015-06-12,-0.0061306339989338765
