,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
15,AGC,AGC,AGC,AET,AEE,ADSK,ADP,ADSK,AEE,ADSK,ADSK,AEP,AEP,AET,AFL,AGN,AFL,AES,AEP,AEP,ADT,AEE,AEP,AEE,AEE,AEP,AEP,AEP
16,AGN,AGN,AGN,AFS.A,AEP,AEE,ADSK,AEE,AEP,AEE,AEE,AES,AES,AFL,AGN,AIG,AGN,AET,AES,AES,AEE,AEP,AES,AEP,AEP,AES,AES,AES
17,AHM,AHM,AHM,AGC,AES,AEP,AEE,AEP,AES,AEP,AEP,AET,AET,AGN,AIG,AIV,AIG,AFL,AET,AET,AEP,AES,AET,AES,AES,AFL,AFL,AFL
18,AIG,AIG,AIG,AGN,AET,AES,AEP,AES,AET,AES,AES,AFL,AFL,AIG,AIV,AIZ,AIV,AGN,AFL,AFL,AES,AET,AFL,AFL,AFL,AIG,AIG,AIG
19,AIT,AIT,AIT,AIG,AFL,AET,AES,AET,AFL,AET,AET,AGN,AGN,AIV,AIZ,AKAM,AIZ,AIG,AGN,AGN,AET,AFL,AGN,AGN,AGN,AIZ,AIZ,AIZ
20,AL,AL,AL,AIT,AFS.A,AFL,AET,AFL,AGN,AFL,AFL,AIG,AIG,AIZ,AKAM,AKS,AKAM,AIV,AIG,AIG,AFL,AGN,AIG,AIG,AIG,AJG,AJG,AJG
21,ALL,ALL,ALL,AL,AGC,AGC,AFL,AGN,AIG,AGN,AGN,AIV,AIV,AKAM,AKS,ALL,ALL,AIZ,AIV,AIV,AGN,AIG,AIV,AIV,AIV,AKAM,AKAM,AKAM
22,AM,AM,AM,ALL,AGN,AGN,AGN,AIG,AIV,AIG,AIG,ALL,AIZ,AKS,ALL,ALTR,ALTR,AKAM,AIZ,AIZ,AIG,AIV,AIZ,AIZ,AIZ,ALB,ALB,ALB
23,AMAT,AMAT,AMAT,AM,AIG,AIG,AIG,ALL,ALL,AIV,AIV,ALTR,AKAM,ALL,ALTR,AMAT,AMAT,ALL,AKAM,AKAM,AIV,AIZ,AJG,AJG,AJG,ALGN,ALGN,ALGN
24,AMD,AMD,AMD,AMAT,AL,AL,AL,ALTR,ALTR,ALL,ALL,AMAT,ALL,ALTR,AMAT,AMD,AMD,ALTR,ALL,ALL,AIZ,AJG,AKAM,AKAM,AKAM,ALK,ALK,ALK
25,AMGN,AMGN,AMGN,AMD,ALL,ALL,ALL,AM,AM,ALTR,ALTR,AMD,ALTR,AMAT,AMD,AMGN,AMGN,ALXN,ALLE,ALLE,AKAM,AKAM,ALB,ALB,ALB,ALL,ALL,ALL
26,AMH,AMH,AMP,AMGN,AM,ALTR,ALTR,AMAT,AMAT,AMAT,AMAT,AMGN,AMAT,AMD,AMGN,AMP,AMP,AMAT,ALTR,ALTR,ALL,ALB,ALGN,ALGN,ALGN,ALLE,ALLE,ALLE
27,AMP,AMP,AN,AMP,AMAT,AM,AM,AMCC,AMCC,AMCC,AMCC,AMP,AMD,AMGN,AMP,AMT,AMT,AMD,ALXN,ALXN,ALLE,ALK,ALK,ALK,ALK,ALXN,AMAT,AMAT
28,AN,AN,ANDW,ANDW,AMD,AMAT,AMAT,AMD,AMD,AMD,AMD,AMZN,AMGN,AMP,AMT,AMZN,AMZN,AMGN,AMAT,AMAT,ALXN,ALL,ALL,ALL,ALL,AMAT,AMCR,AMCR
29,ANDW,ANDW,ANV,ANV,AMGN,AMCC,AMCC,AMGN,AMGN,AMGN,AMGN,AN,AMP,AMT,AMZN,AN,AN,AMP,AME,AME,AMAT,ALLE,ALLE,ALLE,ALLE,AMCR,AMD,AMD
30,ANV,ANV,AON,AON,ANDW,AMD,AMD,ANDW,AN,AN,AMP,ANTM,AMT,AMZN,AN,ANDV,ANDV,AMT,AMGN,AMG,AME,ALXN,ALXN,ALXN,ALXN,AMD,AME,AME
31,APD,AON,APA,APA,AON,AMGN,AMGN,ANTM,ANDW,ANDW,AMZN,AON,AMZN,AN,ANDV,ANF,ANF,AMZN,AMP,AMGN,AMG,AMAT,AMAT,AMAT,AMAT,AME,AMGN,AMGN
32,AR,APD,APC,APC,APA,ANDW,ANDW,AON,ANTM,ANTM,AN,APA,AN,ANDV,ANF,ANTM,ANRZQ,AN,AMT,AMP,AMGN,AME,AMD,AMD,AMCR,AMGN,AMP,AMP
33,ARC,AR,APD,APD,APC,AON,AON,APA,AON,AON,ANDW,APC,ANDV,ANF,ANTM,AON,ANTM,ANDV,AMZN,AMT,AMP,AMG,AME,AME,AMD,AMP,AMT,AMT
34,ARNC,ARC,AR,AR,APD,APA,APA,APC,APA,APA,ANTM,APCC,ANF,ANTM,AON,APA,AON,ANF,AN,AMZN,AMT,AMGN,AMG,AMG,AME,AMT,AMZN,AMZN
35,AS,ARNC,ARC,ARC,ARC,APC,APC,APCC,APC,APC,AON,APD,ANTM,AON,APA,APC,APA,ANTM,ANDV,AN,AMZN,AMP,AMGN,AMGN,AMGN,AMZN,ANET,ANET
36,ASC,AS,ARNC,ARNC,ARNC,APCC,APCC,APD,APCC,APCC,APA,APOL,AON,APA,APC,APD,APC,AON,ANTM,ANDV,AN,AMT,AMP,AMP,AMP,ANET,ANSS,ANSS
37,ASH,ASC,AS,ASC,ASH,APD,APD,APOL,APD,APD,APC,ARNC,APA,APC,APD,APH,APD,APA,AON,ANTM,ANDV,AMZN,AMT,AMT,AMT,ANSS,ANTM,AON
38,AT,ASH,ASC,ASH,ASO,ARNC,ARNC,ARNC,APOL,APOL,APCC,ASH,APC,APD,APH,APOL,APH,APC,APA,AON,ANTM,AN,AMZN,AMZN,AMZN,ANTM,AON,AOS
39,ATI,AT,ASH,ASND,AT,ASH,ASH,ASH,ARNC,ARNC,APD,ASN,APD,APH,APOL,ARG,APOL,APD,APC,APA,AON,ANDV,ANDV,ANET,ANET,AON,AOS,APA
40,AVP,ATI,AT,AT,ATI,ASO,ASO,ASO,ASH,ASH,APOL,AT,APOL,APOL,ARG,ARNC,ARG,APH,APD,APC,APA,ANTM,ANSS,ANSS,ANSS,AOS,APA,APD
41,AVY,AVP,ATI,ATI,AVP,AT,AT,AT,ASO,ASN,ARNC,ATI,ARNC,ARNC,ARNC,ATGE,ARNC,APOL,APH,APD,APC,AON,ANTM,ANTM,ANTM,APA,APD,APH
42,AXP,AVY,AVP,AVP,AVY,ATI,ATI,ATI,AT,ASO,ASH,AV,ASH,ATI,ATGE,ATI,ATGE,APTV,APTV,APH,APD,APA,AON,AON,AON,APD,APH,APTV
43,AZA.A,AXP,AVY,AVY,AW,AV,AV,AV,ATI,AT,ASN,AVP,ATI,AVB,ATI,AVB,ATI,ARG,ARG,APTV,APH,APC,AOS,AOS,AOS,APH,APTV,ARE
44,BA,AZA.A,AXP,AXP,AXP,AVP,AVP,AVP,AV,ATI,ASO,AVY,AVB,AVP,AVB,AVP,AVB,ARNC,ARNC,ARG,APTV,APD,APA,APA,APA,APTV,ARE,ATO
45,BAC,AZO,AZA.A,AZA.A,AZA.A,AVY,AVY,AVY,AVP,AV,AT,AW,AVP,AVY,AVP,AVY,AVP,ATI,ATI,ARNC,ARG,APH,APC,APC,APD,ARE,ATO,ATVI
46,BAX,BA,AZO,AZO,AZO,AW,AW,AW,AVY,AVP,ATI,AXP,AVY,AXP,AVY,AXP,AVY,AVB,AVB,ATI,ARNC,APTV,APD,APD,APH,ATO,ATVI,AVB
47,BBI,BAC,BA,BA,BA,AXP,AWE,AWE,AW,AVY,AV,AYE,AW,AYE,AXP,AYE,AXP,AVP,AVP,AVB,ATVI,ARNC,APH,APH,APTV,ATVI,AVB,AVGO
48,BC,BAX,BAC,BAC,BAC,AYE,AXP,AXP,AWE,AW,AVP,AZO,AXP,AZO,AYE,AZO,AZO,AVY,AVY,AVGO,AVB,ATVI,APTV,APTV,ARE,AVB,AVGO,AVY
49,BCO,BAY,BAX,BAX,BAX,AZA.A,AYE,AYE,AXP,AXP,AVY,BA,AYE,BA,AZO,BA,BA,AXP,AXP,AVP,AVGO,AVB,ARE,ARE,ARNC,AVGO,AVY,AWK
50,BCR,BBI,BAY,BBT,BBBY,AZO,AZO,AZO,AYE,AYE,AW,BAC,AZO,BAC,BA,BAC,BAC,AZO,AZO,AVY,AVY,AVGO,ARNC,ARNC,ATO,AVY,AWK,AXP
51,BDK,BC,BBI,BC,BBT,BA,BA,BA,AZO,AZO,AXP,BAX,BA,BAX,BAC,BAX,BAX,BA,BA,AXP,AXP,AVY,ATVI,ATVI,ATVI,AWK,AXP,AZO
52,BDX,BCR,BBT,BCR,BBY,BAC,BAC,BAC,BA,BA,AYE,BBBY,BAC,BBBY,BAX,BBBY,BBBY,BAC,BAC,AZO,AZO,AWK,AVB,AVB,AVB,AXP,AZO,BA
53,BEAM,BDK,BC,BDK,BC,BAX,BAX,BAX,BAC,BAC,AZO,BBT,BAX,BBT,BBBY,BBT,BBT,BAX,BAX,BA,BA,AXP,AVGO,AVGO,AVGO,AZO,BA,BAC
54,BEV,BDX,BCR,BDX,BCR,BBBY,BBBY,BBBY,BAX,BAX,BA,BBY,BBBY,BBY,BBT,BBY,BBY,BBBY,BBBY,BAC,BAC,AYI,AVY,AVY,AVY,BA,BAC,BALL
55,BF.B,BEAM,BDK,BEAM,BDK,BBT,BBT,BBT,BBBY,BBBY,BAC,BC,BBT,BCR,BBY,BCR,BCR,BBT,BBT,BAX,BAX,AZO,AWK,AWK,AWK,BAC,BAX,BAX
56,BFI,BEV,BDX,BEN,BDX,BBY,BBY,BBY,BBT,BBT,BAX,BCR,BBY,BDK,BCR,BDX,BDX,BBY,BBY,BBBY,BBBY,BA,AXP,AXP,AXP,BAX,BBWI,BBWI
57,BFO,BF.B,BEAM,BF.B,BEAM,BC,BC,BC,BBY,BBY,BBBY,BDK,BC,BDX,BDK,BEAM,BEAM,BCR,BCR,BBT,BBT,BAC,AYI,AZO,AZO,BBY,BBY,BBY
58,BGG,BFI,BF.B,BFI,BEN,BCR,BCR,BCR,BC,BC,BBT,BDX,BCR,BEAM,BDX,BEN,BEN,BDX,BDX,BBY,BBY,BAX,AZO,BA,BA,BDX,BDX,BDX
59,BHGE,BFO,BFI,BFO,BF.B,BDK,BDK,BDK,BCR,BCR,BBY,BEAM,BDK,BEN,BEAM,BF.B,BF.B,BEAM,BEAM,BCR,BCR,BBBY,BA,BAC,BAC,BEN,BEN,BEN
60,BHMSQ,BGG,BFO,BGG,BFO,BDX,BDX,BDX,BDK,BDK,BC,BEN,BDX,BF.B,BEN,BHGE,BHGE,BEN,BEN,BDX,BDX,BBT,BAC,BAX,BAX,BF.B,BF.B,BF.B
61,BK,BHGE,BGG,BHGE,BGG,BEAM,BEAM,BEAM,BDX,BDX,BCR,BF.B,BEAM,BHGE,BF.B,BIG,BIG,BF.B,BF.B,BEN,BEN,BBY,BAX,BBT,BBY,BIIB,BIIB,BIIB
62,BKB,BHMSQ,BHGE,BHMSQ,BHGE,BEN,BEN,BEN,BEAM,BEAM,BDK,BHGE,BEN,BIG,BHGE,BIIB,BIIB,BHGE,BHGE,BF.B,BF.B,BCR,BBT,BBY,BDX,BIO,BIO,BIO
63,BLL,BK,BHMSQ,BIG,BHMSQ,BF.B,BF.B,BF.B,BEN,BEN,BDX,BIG,BF.B,BIIB,BIG,BK,BK,BIG,BIIB,BHGE,BHGE,BDX,BBY,BDX,BEN,BK,BK,BK
64,BLS,BKB,BK,BK,BIG,BGEN,BGEN,BGEN,BF.B,BF.B,BEAM,BIIB,BHGE,BJS,BIIB,BKNG,BKNG,BIIB,BK,BIIB,BIIB,BEN,BDX,BEN,BF.B,BKNG,BKNG,BKNG
65,BLY,BLL,BKB,BKB,BK,BGG,BHGE,BHGE,BHGE,BHGE,BEN,BJS,BIG,BK,BJS,BLL,BLK,BK,BKNG,BK,BK,BF.B,BEN,BF.B,BIIB,BKR,BKR,BKR
66,BMET,BLS,BLL,BLL,BLL,BHGE,BIG,BIG,BIG,BIG,BF.B,BK,BIIB,BLL,BK,BMC,BLL,BKNG,BLK,BKNG,BKNG,BHGE,BF.B,BHF,BK,BLK,BLK,BLK
67,BMS,BMET,BLS,BLS,BLS,BIG,BK,BJS,BIIB,BIIB,BHGE,BLL,BJS,BMC,BKNG,BMS,BMC,BLK,BLL,BLK,BLK,BIIB,BHF,BHGE,BKNG,BLL,BLL,BMY
68,BMY,BMGCA,BMET,BMC,BMC,BK,BLL,BK,BJS,BJS,BIG,BMC,BK,BMS,BLL,BMY,BMS,BLL,BMS,BLL,BLL,BK,BHGE,BIIB,BKR,BMY,BMY,BR
69,BNI,BMS,BMGCA,BMET,BMET,BLL,BLS,BLL,BK,BK,BIIB,BMET,BLL,BMY,BMC,BRCM,BMY,BMC,BMY,BMY,BMY,BKNG,BIIB,BK,BLK,BR,BR,BRK.B
70,BNL,BMY,BMS,BMGCA,BMS,BLS,BMC,BLS,BLL,BLL,BJS,BMS,BMC,BNI,BMS,BRK.B,BRCM,BMS,BRCM,BRCM,BRCM,BLK,BK,BKNG,BLL,BRK.B,BRK.B,BRO
71,BOAT,BNI,BMY,BMS,BMY,BMC,BMET,BMC,BLS,BLS,BK,BMY,BMS,BRCM,BMY,BSX,BRK.B,BMY,BRK.B,BRK.B,BRK.B,BLL,BKNG,BLK,BMY,BSX,BRO,BSX
72,BOL,BNL,BNI,BMY,BNI,BMET,BMS,BMET,BMC,BMC,BLL,BNI,BMY,BSX,BNI,BTUUQ,BSX,BRCM,BSX,BSX,BSX,BMY,BLK,BLL,BR,BWA,BSX,BWA
73,BR,BOAT,BNL,BNI,BOL,BMS,BMY,BMS,BMET,BMET,BLS,BOL,BNI,BTUUQ,BRCM,BXP,BTUUQ,BRK.B,BTUUQ,BWA,BWA,BRK.B,BLL,BMY,BRK.B,BXP,BWA,BXP
74,BSX,BOL,BOL,BOL,BR,BMY,BNI,BMY,BMS,BMS,BMC,BRCM,BRCM,BXP,BSX,C,BWA,BSX,BWA,BXP,BXLT,BSX,BMY,BR,BSX,C,BXP,C
75,BT,BR,BR,BR,BSC,BNI,BOL,BNI,BMY,BMY,BMET,BRL,BRL,C,BTUUQ,CA,BXP,BTUUQ,BXP,C,BXP,BWA,BRK.B,BRK.B,BWA,CAG,C,CAG
76,BUD,BSX,BSX,BSC,BSX,BOL,BR,BOL,BNI,BNI,BMS,BSC,BSC,CA,BXP,CAG,C,BWA,C,CA,C,BXP,BSX,BSX,BXP,CAH,CAG,CAH
77,C,BT,BT,BSX,BUD,BR,BRCM,BR,BOL,BOL,BMY,BSX,BSX,CAG,C,CAH,CA,BXP,CA,CAG,CA,C,BWA,BWA,C,CARR,CAH,CARR
78,CA,BUD,BUD,BT,C,BRCM,BSC,BRCM,BR,BR,BNI,BTUUQ,BTUUQ,CAH,CA,CAM,CAG,C,CAG,CAH,CAG,CA,BXP,BXP,CAG,CAT,CARR,CAT
79,CAG,C,C,BUD,CA,BSC,BSX,BSC,BRCM,BRCM,BOL,BUD,BUD,CAM,CAG,CAT,CAH,CA,CAH,CAM,CAH,CAG,C,C,CAH,CB,CAT,CB
80,CAL,CA,CA,C,CAG,BSX,BUD,BSX,BSC,BSC,BR,BXP,BXP,CAT,CAH,CB,CAM,CAG,CAM,CAT,CAM,CAH,CA,CAG,CAT,CBOE,CB,CBOE
81,CAR,CAG,CAG,CA,CAH,BUD,C,BUD,BSX,BSX,BRCM,C,C,CB,CAM,CBRE,CAT,CAH,CAT,CB,CAT,CAT,CAG,CAH,CB,CBRE,CBOE,CBRE
82,CAT,CAR,CAH,CAG,CAR,BVSN,CA,C,BUD,BUD,BSC,CA,CA,CBE,CAT,CBS,CB,CAM,CB,CBRE,CB,CB,CAH,CAT,CBOE,CCI,CBRE,CCI
83,CB,CAT,CAR,CAH,CAT,C,CAG,CA,C,C,BSX,CAG,CAG,CBRE,CB,CCE,CBE,CAT,CBRE,CBS,CBRE,CBRE,CAT,CB,CBRE,CCL,CCI,CCL
84,CBB,CB,CAT,CAR,CB,CA,CAH,CAG,CA,CA,BUD,CAH,CAH,CBS,CBRE,CCL,CBRE,CB,CBS,CCE,CBS,CBS,CB,CBOE,CCI,CDNS,CCL,CDAY
85,CBE,CBB,CB,CAT,CBE,CAG,CAR,CAH,CAG,CAG,C,CAT,CAT,CCE,CBS,CEG,CBS,CBRE,CCE,CCI,CCE,CCI,CBOE,CBRE,CCL,CDW,CDAY,CDNS
86,CBS,CBE,CBB,CB,CBS,CAH,CAT,CAR,CAH,CAH,CA,CB,CB,CCL,CCE,CELG,CCE,CBS,CCI,CCL,CCEP,CCL,CBRE,CBS,CDNS,CE,CDNS,CDW
87,CCB,CBS,CBE,CBE,CCE,CAR,CB,CAT,CAR,CAR,CAG,CBE,CBE,CEG,CCL,CEPH,CCL,CCE,CCL,CELG,CCI,CELG,CBS,CCI,CDW,CERN,CDW,CE
88,CCI,CCI,CBS,CBS,CCK,CAT,CBE,CB,CAT,CAT,CAH,CBH,CBH,CELG,CEG,CERN,CEG,CCI,CELG,CERN,CCL,CERN,CCI,CCL,CE,CF,CE,CEG
89,CCK,CCK,CCI,CCE,CCL,CB,CBS,CBE,CB,CB,CAR,CBRE,CBRE,CEPH,CELG,CF,CELG,CCL,CERN,CF,CELG,CF,CCL,CDNS,CERN,CFG,CERN,CF
90,CCTYQ,CCTYQ,CCK,CCK,CCTYQ,CBE,CCE,CBS,CBE,CBE,CAT,CBS,CBS,CF,CEPH,CFN,CERN,CELG,CF,CFN,CERN,CFG,CDNS,CE,CF,CHD,CF,CFG
91,CEG,CEG,CCTYQ,CCL,CCU,CBS,CCL,CCE,CBS,CBS,CB,CBSS,CCE,CHK,CF,CHK,CF,CERN,CFN,CHK,CF,CHD,CELG,CELG,CFG,CHRW,CFG,CHD
92,CEN,CEN,CCU,CCTYQ,CEG,CCE,CCTYQ,CCL,CCE,CBSS,CBE,CCE,CCL,CHRW,CFN,CHRW,CFN,CF,CHK,CHRW,CHD,CHK,CERN,CERN,CHD,CHTR,CHD,CHRW
93,CFL,CFL,CEG,CCU,CEN,CCL,CCU,CCTYQ,CCL,CCE,CBS,CCL,CCTYQ,CI,CHK,CI,CHK,CFN,CHRW,CI,CHK,CHRW,CF,CF,CHRW,CI,CHRW,CHTR
94,CG,CG,CEN,CEG,CFC,CCTYQ,CE,CCU,CCTYQ,CCL,CBSS,CCTYQ,CCU,CIEN,CHRW,CINF,CHRW,CHK,CI,CINF,CHRW,CHTR,CFG,CFG,CHTR,CINF,CHTR,CI
95,CGP,CGP,CFC,CEN,CG,CCU,CEG,CE,CCU,CCTYQ,CCE,CCU,CEG,CINF,CI,CL,CI,CHRW,CINF,CL,CI,CI,CHD,CHD,CI,CL,CI,CINF
96,CHA,CHA,CFL,CFC,CGP,CEG,CF,CEG,CE,CCU,CCL,CEG,CELG,CITGQ,CINF,CLF,CINF,CI,CL,CLX,CINF,CINF,CHK,CHRW,CINF,CLX,CINF,CL
97,CHRS,CHRS,CG,CG,CHA,CEN,CFC,CF,CEG,CEG,CCTYQ,CELG,CFC,CL,CL,CLX,CL,CINF,CLF,CMA,CL,CL,CHRW,CHTR,CL,CMA,CL,CLX
98,CI,CI,CGP,CGP,CI,CF,CHIR,CFC,CF,CFC,CCU,CFC,CHK,CLX,CLF,CMA,CLF,CL,CLX,CMCSA,CLX,CLX,CHTR,CI,CLX,CMCSA,CLX,CMA
99,CIN,CIN,CHA,CHA,CIN,CFC,CI,CHIR,CFC,CHIR,CEG,CHK,CHRW,CMA,CLX,CMCSA,CLX,CLF,CMA,CME,CMA,CMA,CI,CINF,CMA,CME,CMA,CMCSA
100,CL,CL,CHRS,CI,CINF,CGP,CIEN,CI,CHIR,CI,CFC,CI,CI,CMCSA,CMA,CME,CMA,CLX,CMCSA,CMG,CMCSA,CMCSA,CINF,CL,CMCSA,CMG,CMCSA,CME
101,CLX,CLX,CI,CIN,CL,CHIR,CIN,CIEN,CI,CIEN,CHIR,CIEN,CIEN,CME,CMCSA,CMI,CMCSA,CMA,CME,CMI,CME,CME,CL,CLX,CME,CMI,CME,CMG
102,CMA,CMA,CIN,CINF,CLX,CI,CINF,CIN,CIEN,CIN,CI,CINF,CINF,CMI,CME,CMS,CME,CMCSA,CMG,CMS,CMG,CMG,CLX,CMA,CMG,CMS,CMG,CMI
103,CMB,CMCSA,CINF,CL,CMA,CIN,CL,CINF,CIN,CINF,CIEN,CITGQ,CITGQ,CMS,CMI,CNP,CMG,CME,CMI,CNP,CMI,CMI,CMA,CMCSA,CMI,CNC,CMI,CMS
104,CMCSA,CMI,CL,CLX,CMCSA,CINF,CLX,CL,CINF,CITGQ,CIN,CL,CL,CNP,CMS,CNX,CMI,CMG,CMS,CNX,CMS,CMS,CMCSA,CME,CMS,CNP,CMS,CNC
105,CMI,CNG,CLX,CMA,CMI,CIT.A,CMA,CLX,CL,CL,CINF,CLX,CLX,CNX,CNP,COF,CMS,CMI,CNP,COF,CNP,CNC,CME,CMG,CNC,COF,CNC,CNP
106,CNG,CNP,CMA,CMCSA,CMS,CL,CMCSA,CMA,CLX,CLX,CITGQ,CMA,CMA,COF,CNX,COG,CNP,CMS,CNX,COG,CNX,CNP,CMG,CMI,CNP,COG,CNP,COF
107,CNP,COMS,CMCSA,CMI,CMVT,CLX,CMI,CMCSA,CMA,CMA,CL,CMCSA,CMCSA,COG,COF,COL,CNX,CNP,COF,COL,COF,COF,CMI,CMS,COF,COO,COF,COO
108,CNW,COP,CMI,CNC,CNC,CMA,CMS,CMI,CMCSA,CMCSA,CLX,CME,CME,COL,COG,COP,COF,CNX,COG,COP,COG,COG,CMS,CNC,COG,COP,COO,COP
109,COMS,COST,CNC,CNG,CNG,CMCSA,CMVT,CMS,CMI,CMI,CMA,CMI,CMI,COP,COL,COST,COG,COF,COL,COST,COL,COL,CNC,CNP,COO,COST,COP,COST
110,COP,CPB,CNG,CNP,CNP,CMI,CNC,CMVT,CMS,CMS,CMCSA,CMS,CMS,COST,COP,CPB,COL,COG,COP,COV,COP,COO,CNP,COF,COP,CPB,COST,CPB
111,COST,CPQ,CNP,COF,COC.B,CMS,CNP,CNP,CMVT,CMVT,CMI,CMVT,CNP,COV,COST,CPWR,COP,COL,COST,CPB,COST,COP,COF,COG,COST,CPRT,CPB,CPRT
112,COV,CR,COMS,COMS,COF,CMVT,CNXT,COF,CNP,CMX,CMS,CMX,CNX,CPB,CPB,CRM,COST,COP,COV,CRM,CPB,COST,COG,COO,COTY,CRM,CPRT,CPT
113,CPB,CRR,COP,COP,COMS,CNC,COC.B,COL,COF,CNP,CMVT,CNP,COF,CPWR,CPWR,CSCO,COV,COST,CPB,CSCO,CPGX,COTY,COL,COP,CPB,CSCO,CRL,CRL
114,CPQ,CSCO,COST,COST,COP,CNP,COF,COP,COL,COF,CMX,CNX,COL,CRM,CRM,CSX,CPB,COV,CRM,CSX,CPRI,CPB,COO,COST,CPRI,CSX,CRM,CRM
115,CR,CSE,CPB,CPB,COST,CNXT,COL,COST,COP,COL,CNP,COF,COP,CSCO,CSCO,CTAS,CRM,CPB,CSCO,CTAS,CRM,CPRI,COP,COTY,CPRT,CTAS,CSCO,CSCO
116,CRR,CSR,CPQ,CPQ,CPB,COC.B,COP,CPB,COST,COP,COF,COL,COST,CSX,CSX,CTL,CSCO,CRM,CSX,CTL,CSCO,CRM,COST,CPB,CRM,CTLT,CSX,CSGP
117,CSCO,CSX,CR,CPWR,CPQ,COF,COST,CPNLQ,CPB,COST,COL,COP,COV,CTAS,CTAS,CTSH,CSX,CSCO,CTAS,CTSH,CSRA,CSCO,COTY,CPRI,CSCO,CTSH,CTAS,CSX
118,CSR,CTB,CSCO,CR,CPWR,COP,CPB,CPWR,CPNLQ,CPB,COP,COST,CPB,CTL,CTL,CTXS,CTAS,CSX,CTL,CTXS,CSX,CSRA,CPB,CPRT,CSX,CTVA,CTLT,CTAS
119,CSX,CTX,CSE,CSCO,CR,COST,CPNLQ,CR,CPWR,CPNLQ,COST,CPB,CPWR,CTSH,CTSH,CVC,CTL,CTAS,CTSH,CVC,CTAS,CSX,CPRI,CRM,CTAS,CTXS,CTRA,CTLT
120,CTB,CVS,CSR,CSE,CSCO,CPB,CPQ,CSCO,CR,CPWR,CPB,CPWR,CSCO,CTX,CTXS,CVH,CTSH,CTL,CTXS,CVS,CTL,CTAS,CRM,CSCO,CTL,CVS,CTSH,CTRA
121,CTX,CVX,CSX,CSR,CSR,CPNLQ,CPWR,CSX,CSCO,CSCO,CPWR,CSCO,CSX,CTXS,CVH,CVS,CTXS,CTSH,CVC,CVX,CTSH,CTL,CSCO,CSX,CTSH,CVX,CTVA,CTSH
122,CVS,CYM,CTB,CSX,CSX,CPQ,CR,CTAS,CSX,CSX,CSCO,CSX,CTAS,CVG,CVS,CVX,CVC,CTXS,CVS,D,CTXS,CTSH,CSRA,CTAS,CTVA,CXO,CTXS,CTVA
123,CVX,D,CTX,CTB,CTB,CPWR,CSCO,CTB,CTAS,CTAS,CSX,CTAS,CTL,CVH,CVX,D,CVH,CVC,CVX,DAL,CVC,CTXS,CSX,CTL,CTXS,D,CVS,CVS
124,CYM,DALRQ,CVS,CTX,CTL,CR,CSX,CTL,CTB,CTB,CTAS,CTL,CTSH,CVS,D,DD,CVS,CVH,D,DD,CVS,CVS,CTAS,CTSH,CVS,DAL,CVX,CVX
125,CYR,DCNAQ,CVX,CVS,CTX,CSCO,CTAS,CTX,CTL,CTL,CTB,CTSH,CTX,CVX,DD,DE,CVX,CVS,DAL,DE,CVX,CVX,CTL,CTXS,CVX,DD,CZR,CZR
126,D,DD,CYM,CVX,CTXS,CSX,CTB,CTXS,CTX,CTX,CTL,CTX,CTXS,D,DE,DELL,D,CVX,DD,DFS,D,CXO,CTSH,CVS,CXO,DE,D,D
127,DALRQ,DDS,D,CYM,CVS,CTB,CTL,CVG,CTXS,CTXS,CTX,CTXS,CVG,DD,DELL,DF,DD,D,DE,DG,DAL,D,CTXS,CVX,D,DFS,DAL,DAL
128,DCNAQ,DE,DALRQ,D,CVX,CTL,CTX,CVS,CVG,CVG,CTXS,CVG,CVH,DDR,DF,DFS,DE,DD,DFS,DGX,DD,DAL,CVS,CXO,DAL,DG,DD,DD
129,DD,DEC,DCNAQ,DALRQ,D,CTX,CTXS,CVX,CVS,CVS,CVG,CVH,CVS,DE,DFS,DGX,DELL,DE,DG,DHI,DE,DD,CVX,D,DD,DGX,DE,DE
130,DDS,DELL,DD,DCNAQ,DALRQ,CTXS,CVG,D,CVX,CVX,CVH,CVS,CVX,DELL,DGX,DHI,DF,DELL,DGX,DHR,DFS,DE,CXO,DAL,DE,DHI,DFS,DFS
131,DE,DGN,DDS,DD,DCNAQ,CVG,CVS,DALRQ,D,D,CVS,CVX,D,DF,DHI,DHR,DFS,DF,DHI,DIS,DG,DFS,D,DE,DFS,DHR,DG,DG
132,DEC,DI,DE,DDS,DD,CVS,CVX,DCNAQ,DALRQ,DALRQ,CVX,D,DD,DFS,DHR,DIS,DGX,DFS,DHR,DISCA,DGX,DG,DAL,DFS,DG,DIS,DGX,DGX
133,DGN,DIGI,DEC,DE,DDS,CVX,D,DD,DCNAQ,DCNAQ,D,DD,DDR,DGX,DIS,DISCA,DHI,DG,DIS,DISCK,DHI,DGX,DE,DG,DGX,DISCA,DHI,DHI
134,DI,DIS,DELL,DELL,DE,D,DALRQ,DDS,DD,DD,DCNAQ,DDS,DDS,DHI,DNB,DNB,DHR,DGX,DISCA,DLTR,DHR,DHI,DFS,DGX,DHI,DISCK,DHR,DHR
135,DIGI,DJ,DGN,DG,DELL,DALRQ,DCNAQ,DE,DDS,DDS,DD,DE,DE,DHR,DNR,DNR,DIS,DHI,DLTR,DNB,DIS,DHR,DG,DHI,DHR,DISH,DIS,DIS
