date,AAL,AAMRQ,AAPL,ABI
1999-11-01,,,-0.033321636069366,
1999-11-02,,,-0.015456258236691112,
1999-11-03,,,-0.02567970568160277,
1999-11-04,,,-0.05457062555229081,
1999-11-05,,,-0.08734159838248584,
1999-11-08,,,0.07261644050519911,
1999-11-09,,,-0.02010451012855874,
1999-11-10,,,-0.008819263434080238,
1999-11-11,,,0.017827343681643182,
1999-11-12,,,0.013106929832203074,
1999-11-15,,,-0.019377232538784928,
1999-11-16,,,0.010361644732584774,
1999-11-17,,,0.007005087854992875,
1999-11-18,,,-0.030981276048182682,
1999-11-19,,,0.019884846167186887,
1999-11-22,,,-0.023879453368308046,
1999-11-23,,,-0.0200540053881077,
1999-11-24,,,-0.003899873190454317,
1999-11-26,,,0.005273717528074151,
1999-11-29,,,-0.034405513779938945,
1999-11-30,,,-0.05167127546235084,
1999-12-01,,,-0.066894805599607,
1999-12-02,,,-0.042725979863564356,
1999-12-03,,,-0.008658062743115091,
1999-12-06,,,-0.015482966151662822,
1999-12-07,,,0.06804748562641456,
1999-12-08,,,0.04468719906912183,
1999-12-09,,,0.02160948433285509,
1999-12-10,,,0.03960913809504685,
1999-12-13,,,0.042612316729803534,
1999-12-14,,,-0.022203445098596508,
1999-12-15,,,-0.013414772875450676,
1999-12-16,,,-0.017044434609258363,
1999-12-17,,,0.02020270731751933,
1999-12-20,,,-0.04489531990789106,
1999-12-21,,,0.02529279266240389,
1999-12-22,,,-0.03500160678936409,
1999-12-23,,,0.041325341790155457,
1999-12-27,,,0.011341893734068464,
1999-12-28,,,-0.025142112746323497,
1999-12-29,,,0.0037810990321291427,
1999-12-30,,,-0.024617233659233462,
1999-12-31,,,-0.08508038890858582,
2000-01-03,,,0.08810021488474992,
2000-01-04,,,-0.014528100562909319,
2000-01-05,,,0.09051400754083191,
2000-01-06,,,-0.04628075256400638,
2000-01-07,,,0.017744445299071765,
2000-01-10,,,0.052505497377930976,
2000-01-11,,,0.06181805604781976,
2000-01-12,,,-0.10404068647016612,
2000-01-13,,,-0.03743020237949424,
2000-01-14,,,-0.034253275290911045,
2000-01-18,,,-0.024894397211782965,
2000-01-19,,,-0.06309463012937877,
2000-01-20,,,0.019483735416323172,
2000-01-21,,,0.04652429370060834,
2000-01-24,,,-0.054933718817837124,
2000-01-25,,,0.018522378122677707,
2000-01-26,,,0.001725782707268586,
2000-01-27,,,0.07923999962683051,
2000-01-28,,,-0.020743792945220912,
2000-01-31,,,0.03431709292412846,
2000-02-01,,,0.014468251979807056,
2000-02-02,,,-0.04453536265448271,
2000-02-03,,,-0.04439705026286478,
2000-02-04,,,-0.054593398604173726,
2000-02-07,,,-0.007076428428920173,
2000-02-08,,,0.019781734330840295,
2000-02-09,,,-0.007783517094984704,
2000-02-10,,,0.04275116695266415,
2000-02-11,,,-0.0628992472274928,
2000-02-14,,,-0.027172575915242733,
2000-02-15,,,0.041872966766229716,
2000-02-16,,,-0.006550527812013929,
2000-02-17,,,0.03202113311096341,
2000-02-18,,,-0.022750470247448723,
2000-02-22,,,-0.02121265317366766,
2000-02-23,,,0.009073296205675402,
2000-02-24,,,0.04283139047699766,
2000-02-25,,,-0.02575940657835038,
2000-02-28,,,-0.012024544760448258,
2000-02-29,,,-0.12829391803322343,
2000-03-01,,,0.06589518242355862,
2000-03-02,,,-0.048009219186360294,
2000-03-03,,,0.018211705982870908,
2000-03-06,,,0.022691672057266132,
2000-03-07,,,0.007105841146223257,
2000-03-08,,,-0.002047083621724996,
2000-03-09,,,-0.028227680624866677,
2000-03-10,,,0.03594655619701967,
2000-03-13,,,0.05996022300851386,
2000-03-14,,,-0.01735401469315148,
2000-03-15,,,-0.044664923581125754,
2000-03-16,,,-0.02790576925370955,
2000-03-17,,,0.016129381929883516,
2000-03-20,,,-0.09264587982685932,
2000-03-21,,,-0.06630163911928022,
2000-03-22,,,0.020175815723905935,
2000-03-23,,,0.01871483192640809,
2000-03-24,,,-0.006253389650325777,
2000-03-27,,,0.003085868464786534,
2000-03-28,,,0.02319513593529203,
2000-03-29,,,0.07791780293864246,
2000-03-30,,,-0.07696104113613264,
2000-03-31,,,0.0185796069903924,
2000-04-03,,,0.046052186052034254,
2000-04-04,,,-0.023828206422839192,
2000-04-05,,,0.04062068022482283,
2000-04-06,,,-0.0510736041499006,
2000-04-07,,,0.052592450119169694,
2000-04-10,,,0.04549958407136655,
2000-04-11,,,0.08917531925523507,
2000-04-12,,,-0.040891557318098654,
2000-04-13,,,0.01719290843495941,
2000-04-14,,,-0.10189514570726986,
2000-04-17,,,-0.023930311586397662,
2000-04-18,,,0.0463811504633678,
2000-04-19,,,0.018751330696605714,
2000-04-20,,,-0.013619293938176971,
2000-04-24,,,-0.0627994579762165,
2000-04-25,,,0.056099958124098036,
2000-04-26,,,-0.04386738968846409,
2000-04-27,,,0.021451322926321487,
2000-04-28,,,-0.002013126258652742,
2000-05-01,,,0.05319612356514617,
2000-05-02,,,0.024128590803330754,
2000-05-03,,,0.038720230037614295,
2000-05-04,,,-0.021715700750730593,
2000-05-05,,,0.026878521873856448,
2000-05-08,,,0.04342860952021013,
2000-05-09,,,0.05989579983892876,
2000-05-10,,,-0.03463635363935935,
2000-05-11,,,-0.04572387950664647,
2000-05-12,,,0.06348598722001364,
2000-05-15,,,-0.04538976417999563,
2000-05-16,,,0.041733091626947105,
2000-05-17,,,0.0061349885675157645,
2000-05-18,,,0.06934741855678844,
2000-05-19,,,0.04415200092744348,
2000-05-22,,,0.0470072315235307,
2000-05-23,,,-0.021672317972233568,
