date,AAL,AAMRQ,AAPL,ABI
2012-01-30,8.03088017712657,0.711,13.7685527379168,14.5
2012-01-31,7.95547285151975,0.683,13.874018131618,14.5
2012-02-01,8.38906497375898,0.592,13.8652040209052,15.0
2012-02-02,8.59643511917774,0.633,13.8326829917236,14.7
2012-02-03,9.08658273562208,0.644,13.9712772843107,14.7
2012-02-06,8.6247128662803,0.6375,14.1016653358894,14.8
2012-02-07,8.70954610758797,0.65,14.2493776740415,14.8
2012-02-08,8.57758328777603,0.6445,14.4879665329908,15.04
2012-02-09,8.44562046796409,0.625,14.9891551042106,15.04
2012-02-10,8.34193539525471,0.6,14.9967534755147,15.0
2012-02-13,8.65299061338285,0.582,15.2757656698019,15.02
2012-02-14,8.4833241307675,0.559,15.484264978387,15.02
2012-02-15,8.37963905805812,0.5395,15.1259257876847,15.02
2012-02-16,8.57758328777603,0.507,15.2639122105675,15.0
2012-02-17,8.38906497375898,0.5385,15.261176796898,15.4899
2012-02-21,7.43704748797284,0.5317,15.6480858637038,15.59
2012-02-22,7.25795508965664,0.514,15.593073655462,15.85
2012-02-23,6.84321479881912,0.5075,15.6948918309372,16.78
2012-02-24,6.5887150748961,0.5125,15.8778606119404,15.9
2012-02-27,6.59814099059695,0.5107,15.9796787874156,16.4999
2012-02-28,6.98460353433191,0.515,16.2729759197546,16.25
2012-02-29,6.98460353433191,0.5025,16.4866421208264,15.7501
2012-03-01,6.98460353433191,0.504,16.5483408958159,16.01
2012-03-02,7.19197367975067,0.492,16.5699202703196,16.01
2012-03-05,6.5887150748961,0.464,16.2045905780175,16.01
2012-03-06,6.48503000218671,0.453,16.1164494708897,15.75
2012-03-07,6.51330774928927,0.472,16.1295186695328,15.6
2012-03-08,6.56043732779354,0.515,16.472965052479,16.5
2012-03-09,6.62641873769951,0.489,16.5696163354674,16.35
2012-03-12,6.49445591788757,0.4725,16.777203839496,16.35
2012-03-13,6.56043732779354,0.489,17.2665389514813,16.35
2012-03-14,6.68297423190462,0.5098,17.9193910139312,16.89
2012-03-15,7.14484410124641,0.501,17.797209203361,16.89
2012-03-16,6.73952972610974,0.491,17.7975131382131,16.89
2012-03-19,6.77723338891315,0.488,18.269523963625,16.25
2012-03-20,7.23910325825494,0.4725,18.4172363017771,16.25
2012-03-21,7.19197367975067,0.4799,18.3120748429281,16.0
2012-03-22,6.90919620872509,0.4875,18.216031429644,16.0
2012-03-23,7.11656635414385,0.49,18.1160368632818,16.1
2012-03-26,7.2862328367592,0.492,18.4482376566979,16.3
2012-03-27,7.1259922698447,0.49,18.6761887958215,16.3
